name|rating|country|category|price|abv|age|brand|time_data|row_num|id|mean_age|mean_abv|mean_price
Yamazaki Single Malt 12-Year Whisky|86|Japan|Single Malt|43|43|12|Yamazaki|1995-01-01  00:00:00|122|9da89d6c-13fa-48df-85a0-38d962281ab2|14.36|44.61|72.37
Jim Beam Black Bourbon|86|USA|Bourbon|20|43|8|Jim Beam|1995-01-01  00:00:00|123|21fb2f0a-170d-453b-84df-c163e3c21c07|14.36|44.61|72.37
Buffalo Trace Kentucky Straight Bourbon Whiskey|86|USA|Bourbon|24|45||Buffalo Trace|1995-01-01  00:00:00|124|3ccb5119-e0e4-4990-9e74-dd811ea87fae|14.36|44.61|72.37
Old Parr 12 Year Old Blended Scotch|86|Scotland|Blended|40|40|12|Old Parr|1995-01-01  00:00:00|125|4ad9b32d-2b2e-4abc-b2d3-05e972b4b632|14.36|44.61|72.37
Balvenie 15 Year Old Single Barrel Single Malt Scotch|86|Scotland|Speyside|49|47.8|15|Balvenie|1995-01-01  00:00:00|126|3c5e479b-1ee1-4756-a3c0-b70b2d003acf|14.36|44.61|72.37
George Dickel Tennessee Whiskey #12|87|USA|Corn|20|45||George Dickel|1995-01-01  00:00:00|127|b8d4c562-654e-405b-9353-60ff02d5fe3b|14.36|44.61|72.37
Jameson 12 Year Old Irish Whiskey|87|Ireland|Blended|50|40|12|Jameson|1995-01-01  00:00:00|128|b18c0e88-2640-473c-98d7-04686d3e5d9e|14.36|44.61|72.37
Elmer T Lee Bourbon Whiskey|87|USA|Bourbon|30|45|23|Elmer T Lee|1995-01-01  00:00:00|129|bf473154-a61d-4575-8783-caa53d3a584d|14.36|44.61|72.37
Tyrconnell 10 Year Old Single Malt Sherry Cask Finish Irish Whiskey|87|Ireland|Single Malt|60||10|Tyrconnell|1995-01-01  00:00:00|130|9a1f80dc-88a9-40bf-af6d-34a70c1ccbee|14.36|44.61|72.37
Ledaig 10 Year Old Single Malt Scotch|87|Scotland|Highlands|50|43|10|Ledaig|1995-01-01  00:00:00|131|b8535b70-03c8-4824-a1a5-406b9cec79e5|14.36|44.61|72.37
Blanton's Single Barrel Bourbon|87|USA|Bourbon|49|47||Blanton|1995-01-01  00:00:00|132|076320dd-8e4e-49b4-9be2-645b5a3d4e84|14.36|44.61|72.37
Four Roses Single Barrel Kentucky Straight Bourbon|87|USA|Bourbon|53|50|10|Four Roses|1995-01-01  00:00:00|133|30c89ca3-b01b-4152-b068-569bead1f8c4|14.36|44.61|72.37
Bowman Brothers Virginia Straight Bourbon Whiskey|87|USA|Bourbon|40|45||Bowman|1995-01-01  00:00:00|134|b240b87e-0f60-4bf4-a599-9607dd9f3bdc|14.36|44.61|72.37
Russell's Reserve 6 Year Old Straight Rye Whiskey|88|USA|Rye|27|45|6|Russell's|1995-01-01  00:00:00|135|0cfbb20d-8bfe-4a81-acee-640f25058432|14.36|44.61|72.37
Balcones True Blue Cask Strength Corn Whiskey|88|USA|Corn|59|63||Balcones|1995-01-01  00:00:00|136|4deb859a-c694-48b5-841c-bd4cde65f96d|14.36|44.61|72.37
Connemara Turf Mor Irish Whiskey|88|Ireland|Single Malt|75|58||Connemara|1995-01-01  00:00:00|137|398ada1a-8cac-4178-81eb-d8155ffb14e9|14.36|44.61|72.37
Downslope Double Diamond Whiskey|88|USA|Blended|32|40||Downslope|1995-01-01  00:00:00|138|99b812e8-74aa-46e6-966c-42296b565ead|14.36|44.61|72.37
